11543,59
11540,53
11545,3
11549,50
3483,36
5986,54
5984,52
5985,9
6797,9
6794,33
6790,59
6791,35
6799,59
16252,55
16251,49
273,30
16257,3
16708,57
19975,51
16705,59
279,36
16707,41
16258,41
16700,54
12014,59
12017,52
12016,39
12011,35
12010,39
12380,52
17258,36
15482,44
17250,54
17251,58
17254,48
17256,3
10709,3
10708,36
9258,54
9259,41
10703,9
9525,50
9526,54
9255,33
9252,9
9253,30
9250,59
10704,39
15956,41
3958,52
6348,30
3511,35
3517,59
3514,36
2688,30
2687,44
2681,35
14626,55
14622,59
14623,54
14629,41
98,44
93,53
96,54
13059,33
13053,9
13056,30
13054,41
18703,59
18708,52
17829,41
17825,55
17822,55
20259,35
20252,59
20251,59
20256,59
20257,57
20255,59
1177,57
1176,50
1174,58
1173,54
1170,33
1178,59
7189,54
7184,52
7185,54
3433,35
3435,39
12831,55
12830,3
12836,41
12834,54
8017,50
8016,33
8547,55
8546,41
15281,55
8012,27
15283,33
8010,55
7455,50
7453,55
7459,59
2658,50
2742,39
4848,41
4595,3
10884,52
10885,57
10887,41
10883,54
16884,33
6537,41
8293,41
8292,59
15551,9
8294,53
15553,27
15000,59
393,54
390,55
399,59
2309,50
2308,54
4729,59
2301,41
13615,59
2303,55
2304,59
2307,55
19704,57
19702,55
16063,58
11283,59
11282,54
11285,41
11284,49
11287,3
17622,2
17625,54
3747,41
3744,54
3742,55
3743,54
3740,44
4621,55
4622,41
13532,41
4625,9
14539,54
11756,33
11755,54
11754,50
11753,35
11752,47
11751,9
11750,52
10695,3
11758,50
19560,49
19561,49
19562,58
16396,27
16394,27
16395,54
16398,54
16399,55
20887,54
20885,59
20735,59
20734,54
20736,44
20793,44
20888,50
13286,35
13282,9
13281,48
13280,30
203,36
17652,41
14166,33
21283,44
21281,57
21286,44
21287,54
21285,9
20089,35
20087,35
20080,35
10391,35
10393,50
10394,49
10398,47
7218,9
16935,3
16932,3
271,58
7212,50
272,35
7216,55
16939,36
12226,51
12227,33
6215,41
6214,41
6213,50
12223,30
6211,44
12221,55
16256,3
15708,33
6818,51
15878,54
15879,55
6811,41
6810,55
15702,33
15703,55
6815,54
6814,52
6817,54
6816,9
9755,3
9752,9
10573,40
19978,59
18930,35
18938,41
21429,54
8849,54
8845,30
8846,54
8914,30
11848,39
7669,35
18530,41
12249,9
1768,44
1769,33
1763,33
1760,54
1767,33
1764,59
1765,53
18646,59
19037,36
18313,54
692,33
693,33
690,33
691,33
696,55
1543,57
695,33
11111,59
698,59
699,44
11115,59
14476,30
8710,39
8711,54
8716,55
8717,55
11763,41
17923,35
5611,35
5617,44
5615,54
17925,35
17032,59
11568,52
11569,50
11563,54
11564,59
11565,52
11566,50
11567,52
3042,55
10702,41
9527,35
6778,55
6779,59
6774,53
6776,33
6777,33
6770,39
6771,59
6773,33
9964,57
9965,52
9967,55
9961,57
9963,50
259,35
16723,3
16230,57
16233,54
16232,54
19915,57
16234,40
16725,58
12033,50
12031,52
12036,33
12035,52
9509,41
9502,50
9503,33
9505,41
3688,39
3681,50
3680,52
3684,49
2518,52
2519,52
2517,56
2512,41
2513,55
3533,39
5058,54
3534,36
3539,36
5055,57
5057,3
5050,52
5051,44
5053,55
10760,35
10767,3
10768,41
14642,39
14867,19
14865,9
18549,39
18895,20
16745,3
18898,51
13070,9
13072,54
13890,50
13077,55
13078,40
18769,53
18768,30
18093,55
7896,41
18765,30
18096,34
18095,9
20270,30
20273,34
20274,57
20278,59
20279,53
10185,50
10186,33
10181,27
10180,54
10183,58
20376,59
1159,54
1157,44
1156,41
1153,54
1152,55
15119,51
15118,33
15111,51
15110,9
8036,44
8030,50
8032,53
8039,53
12858,41
8528,59
12853,51
8520,59
8526,55
12857,41
20693,41
16350,59
4297,35
4292,57
7261,44
4748,54
4742,45
4741,9
4740,45
4747,57
4745,44
19762,41
16003,33
19760,41
19761,53
19766,41
19767,55
16005,30
19769,45
17359,30
17607,44
17601,9
17352,39
2182,57
4609,30
4606,54
4604,30
2188,44
4603,35
4600,30
8683,35
12239,52
8681,9
8138,49
15345,55
151,52
153,41
152,33
20869,30
15430,58
157,9
20865,3
20715,59
6456,32
20712,44
20711,59
15348,34
19155,41
8137,36
19635,41
6187,44
6186,59
6185,59
5934,55
6181,50
6180,54
6189,9
6188,51
2725,39
5931,44
2720,54
