3735,2125,355,333,259,211,156,135,114,99,97,73,68,55,54,48,46,45,45,42,
3419,2049,180,57,101,112,88,47,18,67,65,21,41,26,45,23,30,4,37,15,
2431,1076,184,145,245,207,46,50,39,32,94,61,65,22,18,43,24,6,19,40,
3421,716,160,53,40,3,45,45,24,36,7,6,1,7,27,19,22,10,14,9,
43,131,125,291,54,17,51,32,42,20,13,22,7,27,15,10,18,13,13,3,
457,905,150,16,9,7,20,21,14,39,31,14,11,12,31,4,20,4,18,2,
516,1352,82,24,16,32,18,11,6,29,15,46,60,10,9,19,11,3,11,0,
784,8,5,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,1,0,
1142,394,139,47,21,8,23,29,18,22,41,4,1,4,10,15,11,8,8,18,
663,21,19,4,2,2,15,8,5,2,1,2,12,4,0,11,3,0,2,1,
77,58,269,23,44,58,21,6,3,13,29,61,66,3,4,22,12,7,11,4,
249,63,0,0,2,5,7,1,2,6,0,2,1,1,3,0,1,2,0,0,
812,71,21,2,22,0,8,16,7,4,1,0,0,13,7,5,5,7,2,4,
324,88,82,16,5,6,5,7,3,22,17,11,0,3,9,2,11,1,9,5,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
342,22,11,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,2,0,
17,111,12,2,3,1,7,2,8,7,0,0,0,7,13,3,3,1,4,0,
2,187,0,0,0,0,5,4,1,0,0,0,0,1,3,0,2,0,1,0,
93,128,58,52,50,97,12,20,15,31,69,54,65,7,4,37,6,13,6,31,
68,110,16,13,43,45,2,2,4,3,29,4,0,0,0,2,1,0,0,34,
